timestamp,connect,service,status
1431585610,2,5,200
1431585611,0,1,200
1431585622,0,2,200
1431585626,2,4,200
1431585632,1,2,200
1431585633,1,2,200
1431585644,0,2,200
1431585649,0,1,200
1431585655,0,1,200
1431585659,0,2,200
1431585666,2,3,200
1431585671,0,1,200
1431585677,0,3,200
1431585684,0,1,200
1431585686,0,1,200
1431585688,0,1,200
1431585692,1,9,200
1431585699,0,1,200
1431585699,0,1,200
1431585710,0,3,200
1431585715,0,2,200
1431585721,3,2,200
1431585721,2,2,200
1431585729,0,7,200
1431585732,0,1,200
1431585743,1,1,200
1431585746,0,2,200
1431585754,0,1,200
1431585765,0,1,200
1431585774,0,2,200
1431585777,3,1,200
1431585783,1,2,200
1431585788,0,2,200
1431585799,0,2,200
1431585810,0,1,200
1431585821,1,1,200
1431585824,1,2,200
1431585831,1,1,200
1431585832,0,2,200
1431585843,0,1,200
1431585844,0,1,200
1431585845,1,1,200
1431585854,0,1,200
1431585856,1,2,200
1431585859,0,2,200
1431585865,0,5,200
1431585870,1,2,200
1431585876,1,1,200
1431585881,0,2,200
1431585887,0,1,200
1431585893,1,2,200
1431585898,0,1,200
1431585902,1,2,200
1431585904,0,1,200
1431585909,0,1,200
1431585912,0,1,200
1431585920,0,3,200
1431585920,1,2,200
1431585931,0,1,200
1431585933,0,1,200
1431585942,0,1,200
1431585944,1,2,200
1431585944,1,2,200
1431585953,0,3,200
1431585957,4,2,200
1431585958,2,4,200
1431585960,1,1,200
1431585964,0,3,200
1431585975,0,3,200
1431585977,3,3,200
1431585982,1,2,200
1431585986,0,1,200
1431585986,1,2,200
1431585997,0,5,200
1431585999,2,2,200
1431586006,1,3,200
1431586008,0,1,200
1431586013,1,3,200
1431586015,3,3,200
1431586019,0,6,200
1431586030,0,1,200
1431586033,1,2,200
1431586041,2,2,200
1431586041,0,2,200
1431586052,1,1,200
1431586056,0,1,200
1431586060,5,3,200
1431586063,0,1,200
1431586070,4,2,200
1431586074,0,1,200
1431586083,0,1,200
1431586086,0,1,200
1431586097,1,3,200
1431586098,1,2,200
1431586103,3,2,200
1431586108,1,16,200
1431586108,3,15,200
1431586119,2,3,200
1431586130,1,3,200
1431586141,0,1,200
1431586146,1,2,200
1431586147,1,2,200
1431586152,1,2,200
1431586163,0,6,200
1431586164,2,3,200
1431586170,1,5,200
1431586174,0,2,200
1431586180,1,3,200
1431586185,0,3,200
1431586196,1,1,200
1431586202,5,3,200
1431586207,0,1,200
1431586209,1,1,200
1431586218,1,1,200
1431586229,1,1,200
1431586240,0,1,200
1431586242,1,1,200
1431586244,1,2,200
1431586247,1,2,200
1431586251,0,1,200
1431586262,0,1,200
1431586265,1,2,200
1431586273,0,2,200
1431586284,0,1,200
1431586293,0,1,200
1431586295,0,2,200
1431586306,2,4,200
1431586313,1,2,200
1431586317,1,2,200
1431586328,1,5,200
1431586340,0,12,200
1431586351,0,1,200
1431586362,0,2,200
1431586373,0,2,200
1431586374,7,2,200
1431586384,1,1,200
1431586384,2,2,200
1431586395,0,2,200
1431586406,0,6,200
1431586417,0,1,200
1431586423,1,2,200
1431586428,4,1,200
1431586439,0,2,200
1431586443,3,4,200
1431586444,2,5,200
1431586446,0,7,200
1431586450,0,2,200
1431586461,0,2,200
1431586468,1,11,200
1431586472,1,2,200
1431586479,0,1,200
1431586479,2,2,200
1431586483,1,4,200
1431586492,1,6,200
1431586494,1,4,200
1431586494,0,4,200
1431586503,1,2,200
1431586505,2,3,200
1431586516,1,3,200
1431586527,2,6,200
1431586538,3,5,200
1431586538,2,3,200
1431586549,2,2,200
1431586553,1,2,200
1431586555,0,1,200
1431586559,1,2,200
1431586560,3,3,200
1431586562,0,3,200
1431586562,0,1,200
1431586571,2,2,200
1431586582,1,4,200
1431586590,1,2,200
1431586593,1,3,200
1431586599,0,2,200
1431586604,1,3,200
1431586615,1,2,200
1431586623,1,2,200
1431586626,2,13,200
1431586632,3,3,200
1431586637,1,3,200
1431586648,1,2,200
1431586649,1,5,200
1431586656,1,20,200
1431586658,0,2,200
1431586659,1,3,200
1431586670,3,2,200
